iter	Passed	Remaining
1614	62175	7122
1615	62219	7084
1616	62260	7046
1617	62298	7007
1618	62334	6968
1619	62378	6930
1620	62415	6892
1621	62453	6853
1622	62493	6815
1623	62533	6776
1624	62579	6739
1625	62620	6701
1626	62662	6662
1627	62702	6624
1628	62743	6586
1629	62787	6548
1630	62820	6509
1631	62858	6470
1632	62897	6432
1633	62935	6393
1634	62973	6355
1635	63009	6316
1636	63046	6277
1637	63087	6239
1638	63126	6200
1639	63165	6162
1640	63212	6124
1641	63257	6086
1642	63292	6047
1643	63327	6009
1644	63364	5970
1645	63406	5932
1646	63443	5893
1647	63477	5854
1648	63516	5816
1649	63556	5777
1650	63597	5739
1651	63636	5701
1652	63676	5662
1653	63717	5624
1654	63762	5586
1655	63807	5548
1656	63851	5510
1657	63896	5472
1658	63935	5433
1659	63972	5395
